unique_id,ds,Naive,SeasonalNaive
hotel_112,2023-06-21,0.75625,0.98125
hotel_112,2023-06-22,0.75625,0.75
hotel_112,2023-06-23,0.75625,0.75625
hotel_112,2023-06-24,0.75625,1.0125
hotel_112,2023-06-25,0.75625,0.93125
hotel_112,2023-06-26,0.75625,0.9375
hotel_112,2023-06-27,0.75625,0.7875
hotel_112,2023-06-28,0.75625,0.98125
hotel_112,2023-06-29,0.75625,0.75
hotel_112,2023-06-30,0.75625,0.75625
hotel_126,2023-06-03,1.00398406374502,1.0079681274900398
hotel_126,2023-06-04,1.00398406374502,0.9880478087649402
hotel_126,2023-06-05,1.00398406374502,0.9641434262948207
hotel_126,2023-06-06,1.00398406374502,0.9641434262948207
hotel_126,2023-06-07,1.00398406374502,1.00398406374502
hotel_126,2023-06-08,1.00398406374502,0.8047808764940239
hotel_126,2023-06-09,1.00398406374502,1.00398406374502
hotel_126,2023-06-10,1.00398406374502,1.0079681274900398
hotel_126,2023-06-11,1.00398406374502,0.9880478087649402
hotel_126,2023-06-12,1.00398406374502,0.9641434262948207
hotel_126,2023-06-13,1.00398406374502,0.9641434262948207
hotel_126,2023-06-14,1.00398406374502,1.00398406374502
hotel_126,2023-06-15,1.00398406374502,0.8047808764940239
hotel_126,2023-06-16,1.00398406374502,1.00398406374502
hotel_126,2023-06-17,1.00398406374502,1.0079681274900398
hotel_126,2023-06-18,1.00398406374502,0.9880478087649402
hotel_126,2023-06-19,1.00398406374502,0.9641434262948207
hotel_126,2023-06-20,1.00398406374502,0.9641434262948207
hotel_126,2023-06-21,1.00398406374502,1.00398406374502
hotel_126,2023-06-22,1.00398406374502,0.8047808764940239
hotel_126,2023-06-23,1.00398406374502,1.00398406374502
hotel_126,2023-06-24,1.00398406374502,1.0079681274900398
hotel_126,2023-06-25,1.00398406374502,0.9880478087649402
hotel_126,2023-06-26,1.00398406374502,0.9641434262948207
hotel_126,2023-06-27,1.00398406374502,0.9641434262948207
hotel_126,2023-06-28,1.00398406374502,1.00398406374502
hotel_126,2023-06-29,1.00398406374502,0.8047808764940239
hotel_126,2023-06-30,1.00398406374502,1.00398406374502
hotel_133,2023-06-03,0.9836065573770492,1.0
hotel_133,2023-06-04,0.9836065573770492,0.9016393442622951
hotel_133,2023-06-05,0.9836065573770492,0.8524590163934426
hotel_133,2023-06-06,0.9836065573770492,0.8688524590163934
hotel_133,2023-06-07,0.9836065573770492,1.0
hotel_133,2023-06-08,0.9836065573770492,1.0
hotel_133,2023-06-09,0.9836065573770492,0.9836065573770492
hotel_133,2023-06-10,0.9836065573770492,1.0
hotel_133,2023-06-11,0.9836065573770492,0.9016393442622951
hotel_133,2023-06-12,0.9836065573770492,0.8524590163934426
hotel_133,2023-06-13,0.9836065573770492,0.8688524590163934
hotel_133,2023-06-14,0.9836065573770492,1.0
hotel_133,2023-06-15,0.9836065573770492,1.0
hotel_133,2023-06-16,0.9836065573770492,0.9836065573770492
hotel_133,2023-06-17,0.9836065573770492,1.0
hotel_133,2023-06-18,0.9836065573770492,0.9016393442622951
hotel_133,2023-06-19,0.9836065573770492,0.8524590163934426
hotel_133,2023-06-20,0.9836065573770492,0.8688524590163934
hotel_133,2023-06-21,0.9836065573770492,1.0
hotel_133,2023-06-22,0.9836065573770492,1.0
hotel_133,2023-06-23,0.9836065573770492,0.9836065573770492
hotel_133,2023-06-24,0.9836065573770492,1.0
hotel_133,2023-06-25,0.9836065573770492,0.9016393442622951
hotel_133,2023-06-26,0.9836065573770492,0.8524590163934426
hotel_133,2023-06-27,0.9836065573770492,0.8688524590163934
hotel_133,2023-06-28,0.9836065573770492,1.0
hotel_133,2023-06-29,0.9836065573770492,1.0
hotel_133,2023-06-30,0.9836065573770492,0.9836065573770492
hotel_14,2023-06-03,0.5660377358490566,0.6981132075471698
hotel_14,2023-06-04,0.5660377358490566,0.4811320754716981
hotel_14,2023-06-05,0.5660377358490566,0.37735849056603776
hotel_14,2023-06-06,0.5660377358490566,0.49056603773584906
hotel_14,2023-06-07,0.5660377358490566,0.5471698113207547
hotel_14,2023-06-08,0.5660377358490566,0.5188679245283019
hotel_14,2023-06-09,0.5660377358490566,0.5660377358490566
hotel_14,2023-06-10,0.5660377358490566,0.6981132075471698
hotel_14,2023-06-11,0.5660377358490566,0.4811320754716981
hotel_14,2023-06-12,0.5660377358490566,0.37735849056603776
hotel_14,2023-06-13,0.5660377358490566,0.49056603773584906
hotel_14,2023-06-14,0.5660377358490566,0.5471698113207547
hotel_14,2023-06-15,0.5660377358490566,0.5188679245283019
hotel_14,2023-06-16,0.5660377358490566,0.5660377358490566
hotel_14,2023-06-17,0.5660377358490566,0.6981132075471698
hotel_14,2023-06-18,0.5660377358490566,0.4811320754716981
hotel_14,2023-06-19,0.5660377358490566,0.37735849056603776
hotel_14,2023-06-20,0.5660377358490566,0.49056603773584906
hotel_14,2023-06-21,0.5660377358490566,0.5471698113207547
hotel_14,2023-06-22,0.5660377358490566,0.5188679245283019
hotel_14,2023-06-23,0.5660377358490566,0.5660377358490566
hotel_14,2023-06-24,0.5660377358490566,0.6981132075471698
hotel_14,2023-06-25,0.5660377358490566,0.4811320754716981
hotel_14,2023-06-26,0.5660377358490566,0.37735849056603776
hotel_14,2023-06-27,0.5660377358490566,0.49056603773584906
hotel_14,2023-06-28,0.5660377358490566,0.5471698113207547
hotel_14,2023-06-29,0.5660377358490566,0.5188679245283019
hotel_14,2023-06-30,0.5660377358490566,0.5660377358490566
hotel_21,2023-06-03,1.0,1.0092592592592593
hotel_21,2023-06-04,1.0,1.0046296296296295
hotel_21,2023-06-05,1.0,0.75
hotel_21,2023-06-06,1.0,0.75
